epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,42.9402,2.70907,1.84355,1.32039,0.09332,0.66667,0.09281,0.0267,2.8224,2.1065,1.41874,0.0011684,0.0011684,0.0011684
44,43.7319,2.79181,1.90427,1.293,0.07949,0.66667,0.09309,0.0252,2.89409,2.09599,1.4325,0.0011486,0.0011486,0.0011486
45,44.5115,2.70412,1.82641,1.27981,0.08946,0.81481,0.12053,0.03251,2.73218,2.13639,1.38527,0.0011288,0.0011288,0.0011288
46,45.297,2.60776,1.8638,1.24869,0.06546,0.88889,0.09759,0.03215,2.45352,2.35408,1.29843,0.001109,0.001109,0.001109
47,46.0766,2.70372,1.81547,1.3124,0.06116,0.81481,0.08266,0.03194,2.4115,2.50562,1.28487,0.0010892,0.0010892,0.0010892
48,46.8616,2.54588,1.83036,1.22883,0.06128,0.7037,0.05876,0.01462,2.76951,2.81595,1.41346,0.0010694,0.0010694,0.0010694
49,47.6179,2.63224,1.78645,1.24017,0.04186,0.44444,0.03691,0.01143,2.78489,2.89539,1.4284,0.0010496,0.0010496,0.0010496
50,48.4186,2.67204,1.79145,1.32174,0.09829,0.66667,0.12534,0.02887,2.70382,2.48041,1.40483,0.0010298,0.0010298,0.0010298
51,49.2466,2.58644,1.78793,1.30374,0.15639,0.55556,0.32055,0.08942,2.4162,2.09424,1.31608,0.00101,0.00101,0.00101
52,50.0977,2.69029,1.84264,1.26835,0.18107,0.51852,0.29022,0.08221,2.56387,2.03989,1.34413,0.0009902,0.0009902,0.0009902
53,50.9025,2.59199,1.7876,1.25541,0.23921,0.51852,0.37588,0.08749,2.62066,1.99938,1.35616,0.0009704,0.0009704,0.0009704
54,51.7198,2.67145,1.81487,1.25849,0.23922,0.7037,0.39442,0.08657,2.67992,1.97046,1.35164,0.0009506,0.0009506,0.0009506
55,52.5509,2.76396,1.83127,1.27929,0.203,0.7037,0.36931,0.10875,2.47649,1.98754,1.29823,0.0009308,0.0009308,0.0009308
56,53.3737,2.65337,1.73066,1.27257,0.14518,0.66667,0.273,0.09716,2.34503,2.07648,1.26259,0.000911,0.000911,0.000911
57,54.1821,2.60939,1.84383,1.27099,0.13681,0.62963,0.26507,0.07941,2.425,2.2029,1.28564,0.0008912,0.0008912,0.0008912
58,54.9884,2.73042,1.87666,1.26998,0.06015,0.44444,0.05311,0.01359,2.72922,2.67578,1.42904,0.0008714,0.0008714,0.0008714
59,55.7756,2.52308,1.84105,1.23612,0.01715,0.18519,0.02851,0.00897,2.98182,2.98894,1.51352,0.0008516,0.0008516,0.0008516
60,56.5948,2.68201,1.77269,1.31592,0.03643,0.60633,0.03038,0.00774,3.3208,3.05034,1.58552,0.0008318,0.0008318,0.0008318
61,57.3895,2.66978,1.87764,1.31307,0.03816,0.62963,0.03326,0.00797,3.40602,2.88534,1.55534,0.000812,0.000812,0.000812
62,58.2507,2.66264,1.79905,1.23505,0.03926,0.18519,0.05293,0.01336,3.13842,2.5173,1.46612,0.0007922,0.0007922,0.0007922
